,Respondent,Hobby,OpenSource,Country,Student,Employment,FormalEducation,UndergradMajor,DevType,YearsCoding,YearsCodingProf,JobSatisfaction,CareerSatisfaction,HopeFiveYears,AssessBenefits1,AssessBenefits2,AssessBenefits3,AssessBenefits4,AssessBenefits5,AssessBenefits6,AssessBenefits7,AssessBenefits8,AssessBenefits9,AssessBenefits10,AssessBenefits11,Salary,ConvertedSalary,CurrencySymbol,CommunicationTools,EducationTypes,SelfTaughtTypes,TimeAfterBootcamp,HackathonReasons,AgreeDisagree1,AgreeDisagree2,AgreeDisagree3,LanguageWorkedWith,LanguageDesireNextYear,DatabaseWorkedWith,DatabaseDesireNextYear,PlatformWorkedWith,PlatformDesireNextYear,FrameworkWorkedWith,FrameworkDesireNextYear,IDE,OperatingSystem,NumberMonitors,EthicsChoice,EthicsReport,EthicsResponsible,EthicalImplications,WakeTime,HoursComputer,HoursOutside,SkipMeals,Exercise,Gender,SexualOrientation,EducationParents,RaceEthnicity,Age,Dependents,LnConvertedSalary
2606,3715,Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A natural science (ex. biology, chemistry, physics)",Full-stack developer,0-2 years,0-2 years,Slightly dissatisfied,Extremely satisfied,Working in a different or more specialized technical role than the one I'm in now,1.0,2.0,3.0,10.0,5.0,4.0,8.0,7.0,11.0,9.0,6.0,100000,100000.0,USD,Slack,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder)","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Questions & answers on Stack Overflow",One to three months,"To improve my knowledge of a specific programming language, framework, or other technology",4,4,4,Go;JavaScript;Python;Ruby;SQL;HTML;CSS;Bash/Shell,Go;JavaScript;Python;Ruby;SQL;HTML;CSS;Bash/Shell,MongoDB;PostgreSQL;Amazon DynamoDB,MongoDB;MySQL;PostgreSQL;Amazon DynamoDB,AWS;Heroku;Linux;Mac OS;Serverless,AWS;Heroku;Linux;Mac OS;Raspberry Pi;Serverless,Node.js;React,Node.js;React,Visual Studio Code,MacOS,1,No,"Yes, but only within the company",Upper management at the company/organization,Yes,Between 7:01 - 8:00 AM,5 - 8 hours,1 - 2 hours,Never,Daily or almost every day,Male,Straight or heterosexual,"Other doctoral degree (Ph.D, Ed.D., etc.)",White or of European descent,25 - 34 years old,No,11.512925464970229
2630,3756,Yes,Yes,Israel,"Yes, part-time",Employed full-time,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",Back-end developer;Database administrator;Desktop or enterprise applications developer;DevOps specialist;Student;System administrator,6-8 years,3-5 years,Moderately satisfied,Moderately satisfied,Working as a founder or co-founder of my own company,1.0,2.0,8.0,10.0,9.0,11.0,4.0,5.0,6.0,7.0,3.0,27000,94788.0,ILS,"Facebook;Google Hangouts/Chat;Jira;Office / productivity suite (Microsoft Office, Google Suite, etc.);Slack;Stack Overflow Enterprise;Trello;Other wiki tool (Github, Google Sites, proprietary software, etc.)","Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Completed an industry certification program (e.g. MCPD);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees;Pre-scheduled tutoring or mentoring sessions with a friend or colleague",I already had a full-time job as a developer when I began the program,To improve my general technical skills or programming ability;To improve my ability to work on a team with other programmers;To build my professional network;To help me find new job opportunities;Because I find it enjoyable,3,2,3,C#;Java;JavaScript;Matlab;Perl;PHP;Python;Ruby;SQL;VB.NET;HTML;CSS;Bash/Shell,Java;Python;Scala;Bash/Shell,MongoDB;Redis;SQL Server;MySQL;PostgreSQL;Oracle;Amazon DynamoDB;Amazon Redshift;Amazon RDS/Aurora;Google BigQuery;Google Cloud Storage;Elasticsearch,MongoDB;Redis;MySQL;PostgreSQL;Amazon DynamoDB;Amazon Redshift;Google BigQuery;Google Cloud Storage;Elasticsearch,AWS;Google Cloud Platform/App Engine;Heroku;iOS;Linux;Mac OS;Mainframe;Salesforce;Windows Desktop or Server;Firebase,AWS;Google Cloud Platform/App Engine;Linux;Mac OS;Firebase,Angular;.NET Core;Node.js,Angular;Node.js;Spark,IntelliJ;IPython / Jupyter;NetBeans;Notepad++;PyCharm;Sublime Text;Vim;Xcode,Linux-based,3,No,"Yes, but only within the company",Upper management at the company/organization,Yes,Between 9:01 - 10:00 AM,9 - 12 hours,1 - 2 hours,Never,I don't typically exercise,Male,Straight or heterosexual,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Middle Eastern;White or of European descent,25 - 34 years old,No,11.45939809795242
2633,3760,Yes,Yes,Belgium,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",Back-end developer;Database administrator;Product manager,9-11 years,3-5 years,Extremely satisfied,Extremely satisfied,Doing the same work,1.0,6.0,5.0,10.0,7.0,9.0,4.0,3.0,8.0,2.0,11.0,2400,35244.0,EUR,"Confluence;Facebook;Google Hangouts/Chat;HipChat;Jira;Office / productivity suite (Microsoft Office, Google Suite, etc.);Slack;Trello;Other chat system (IRC, proprietary software, etc.);Other wiki tool (Github, Google Sites, proprietary software, etc.)","Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Completed an industry certification program (e.g. MCPD);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees;The technology’s online help system",Less than a month,To build my professional network,4,2,3,C++;C#;Java;JavaScript;Matlab;PHP;Python;R;SQL;TypeScript;VBA;VB.NET;Visual Basic 6;HTML;CSS;Bash/Shell,Go;JavaScript;PHP;Python;Ruby;SQL;TypeScript;HTML;CSS;Bash/Shell,Cassandra;SQL Server;MySQL;PostgreSQL;MariaDB;Memcached;Google BigQuery;Elasticsearch,Cassandra;MongoDB;Redis;SQL Server;MySQL;PostgreSQL;MariaDB;Memcached;Google BigQuery;Elasticsearch,Android;Drupal;iOS;Raspberry Pi;Windows Phone;Firebase,Android;Arduino;Drupal;ESP8266;iOS;Raspberry Pi;Salesforce;Windows Phone;Firebase,Angular;Node.js;Cordova,Angular;Node.js;React;Cordova,Android Studio;Atom;Eclipse;IntelliJ;Notepad++;PHPStorm;Visual Studio Code,MacOS,3,Depends on what it is,"Yes, but only within the company",Upper management at the company/organization,Yes,Between 6:01 - 7:00 AM,9 - 12 hours,30 - 59 minutes,Never,1 - 2 times per week,Male,Straight or heterosexual,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",White or of European descent,18 - 24 years old,No,10.470050580986621
2701,3863,Yes,Yes,Poland,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",Back-end developer;Front-end developer;Full-stack developer;QA or test developer;System administrator,9-11 years,3-5 years,Moderately satisfied,Moderately satisfied,Working as a founder or co-founder of my own company,1.0,11.0,4.0,8.0,5.0,9.0,3.0,2.0,10.0,7.0,6.0,10500,37056.0,PLN,"Jira;Other chat system (IRC, proprietary software, etc.)","Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon;Contributed to open source software",The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;The technology’s online help system,Immediately after graduating,To improve my general technical skills or programming ability;To win prizes or cash awards,4,1,5,C;JavaScript;Python;SQL;TypeScript;HTML;CSS;Bash/Shell,C;Go;JavaScript;Python;TypeScript;HTML;CSS,Redis;PostgreSQL,Redis;PostgreSQL;Google Cloud Storage;Neo4j;Elasticsearch,Firebase,Firebase,Angular;Django,Angular;Django,PyCharm;Sublime Text;Vim,Windows,2,No,Depends on what it is,Upper management at the company/organization,Yes,Between 8:01 - 9:00 AM,9 - 12 hours,30 - 59 minutes,Never,I don't typically exercise,Male,Straight or heterosexual,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",White or of European descent,25 - 34 years old,No,10.520185560932667
2760,3947,Yes,No,United States,No,Employed full-time,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",Back-end developer;Front-end developer;Mobile developer,30 or more years,30 or more years,Moderately satisfied,Moderately satisfied,Retirement,1.0,3.0,4.0,10.0,7.0,2.0,5.0,9.0,11.0,6.0,8.0,170000,170000.0,USD,Jira;Slack,"Participated in a full-time developer training program or bootcamp;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.)",I already had a full-time job as a developer when I began the program,Because I find it enjoyable,4,4,4,Java;JavaScript;SQL;Swift;HTML;CSS,Java;Swift,MongoDB;MySQL;Elasticsearch,Cassandra;Elasticsearch,AWS;iOS,iOS;Raspberry Pi,Angular;Spring,Spring;TensorFlow,Eclipse;Xcode,MacOS,2,No,Depends on what it is,Upper management at the company/organization,Yes,Between 7:01 - 8:00 AM,9 - 12 hours,30 - 59 minutes,1 - 2 times per week,3 - 4 times per week,Male,Straight or heterosexual,Primary/elementary school,White or of European descent,55 - 64 years old,No,12.043553716032399
2777,3969,Yes,Yes,India,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",Mobile developer,6-8 years,6-8 years,Slightly satisfied,Neither satisfied nor dissatisfied,Working as an engineering manager or other functional manager,1.0,3.0,2.0,8.0,4.0,11.0,9.0,5.0,10.0,6.0,7.0,100000,18780.0,INR,Jira;Slack,"Participated in a full-time developer training program or bootcamp;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees;The technology’s online help system",I already had a full-time job as a developer when I began the program,"To improve my general technical skills or programming ability;To improve my knowledge of a specific programming language, framework, or other technology;To improve my ability to work on a team with other programmers;To build my professional network;To help me find new job opportunities;Because I find it enjoyable",5,4,3,Assembly;Java;Objective-C;PHP;Python;Swift;Kotlin;HTML;CSS;Bash/Shell,Assembly;C;Java;Objective-C;PHP;Python;Swift;Kotlin;HTML;CSS;Bash/Shell,MySQL,Cassandra;MongoDB;PostgreSQL;MariaDB;Amazon DynamoDB;Memcached,Android;Apple Watch or Apple TV;Arduino;Google Cloud Platform/App Engine;iOS;Linux;Mac OS;Firebase,Amazon Echo;Arduino;Raspberry Pi;Salesforce;Firebase,Django;Node.js;React,Node.js;React;Cordova;TensorFlow,Android Studio;Atom;Eclipse;IntelliJ;Sublime Text;Xcode,MacOS,2,No,"Yes, and publicly",The developer who wrote it,Yes,Between 7:01 - 8:00 AM,9 - 12 hours,3 - 4 hours,1 - 2 times per week,1 - 2 times per week,Male,Straight or heterosexual,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",South Asian,25 - 34 years old,Yes,9.840547752762253
2791,3987,Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",Back-end developer;Desktop or enterprise applications developer;Embedded applications or devices developer;Product manager,18-20 years,15-17 years,Moderately dissatisfied,Slightly dissatisfied,Working in a different or more specialized technical role than the one I'm in now,1.0,5.0,2.0,8.0,6.0,10.0,3.0,4.0,11.0,9.0,7.0,68000,68000.0,USD,Google Hangouts/Chat;Slack,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Completed an industry certification program (e.g. MCPD);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees;Tapping your network of friends, family, and peers versed in the technology;The technology’s online help system",I already had a full-time job as a developer when I began the program,To build my professional network;To win prizes or cash awards,2,4,5,C;C++;Clojure;JavaScript;Perl;Python;Ruby;Rust;SQL;Visual Basic 6;HTML;CSS,Assembly;C;C++;C#;JavaScript;Matlab;Python;Ruby;Rust;HTML;CSS;Bash/Shell,"Cassandra;SQL Server;MySQL;SQLite;Oracle;Amazon DynamoDB;Amazon Redshift;Microsoft Azure (Tables, CosmosDB, SQL, etc);Google Cloud Storage","Cassandra;MongoDB;Amazon DynamoDB;Apache HBase;Apache Hive;Amazon Redshift;Microsoft Azure (Tables, CosmosDB, SQL, etc);Google Cloud Storage;Neo4j;Elasticsearch",Amazon Echo;Android;Apple Watch or Apple TV;AWS;Azure;Drupal;Google Cloud Platform/App Engine;Google Home;IBM Cloud or Watson;iOS;Mac OS;SharePoint;Windows Desktop or Server;Windows Phone;WordPress,Amazon Echo;Android;Apple Watch or Apple TV;Arduino;AWS;Azure;Gaming console;Google Cloud Platform/App Engine;Google Home;Heroku;IBM Cloud or Watson;iOS;Linux;Mac OS;Raspberry Pi;SharePoint;Windows Phone;Firebase,Angular;.NET Core;Django;React;Spark;Cordova,Angular;Django;Hadoop;Node.js;React;Cordova;TensorFlow;Torch/PyTorch,Android Studio;Atom;Emacs;IPython / Jupyter;Notepad++;PyCharm;RubyMine;Sublime Text;Vim;Visual Studio;Visual Studio Code;Xcode,Windows,More than 4,Depends on what it is,"Yes, and publicly",Upper management at the company/organization,Yes,Between 6:01 - 7:00 AM,Over 12 hours,Less than 30 minutes,Daily or almost every day,I don't typically exercise,"Male;Non-binary, genderqueer, or gender non-conforming",Straight or heterosexual;Asexual,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",White or of European descent,35 - 44 years old,No,11.127262984158243
2941,4193,Yes,No,The former Yugoslav Republic of Macedonia,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",Desktop or enterprise applications developer;Embedded applications or devices developer;Full-stack developer;Mobile developer,6-8 years,6-8 years,Slightly dissatisfied,Extremely satisfied,Doing the same work,1.0,5.0,7.0,10.0,6.0,3.0,9.0,11.0,4.0,8.0,2.0,22000,26925.0,EUR,"Slack;Trello;Other chat system (IRC, proprietary software, etc.);Other wiki tool (Github, Google Sites, proprietary software, etc.)","Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Completed an industry certification program (e.g. MCPD);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.)",Immediately after graduating,"To improve my general technical skills or programming ability;To improve my knowledge of a specific programming language, framework, or other technology",4,4,4,C#;JavaScript;SQL;TypeScript;HTML;CSS,C++,SQL Server;MySQL;PostgreSQL,"Redis;Memcached;Microsoft Azure (Tables, CosmosDB, SQL, etc)",Android;Arduino;Windows Desktop or Server,Azure;Linux;Serverless,.NET Core;Xamarin,React;TensorFlow,Sublime Text;Visual Studio;Visual Studio Code,Windows,2,Depends on what it is,Depends on what it is,The person who came up with the idea,Yes,Between 6:01 - 7:00 AM,Over 12 hours,1 - 2 hours,Never,3 - 4 times per week,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",White or of European descent,25 - 34 years old,No,10.20081050202459
2969,4231,No,No,Spain,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",Back-end developer,15-17 years,9-11 years,Moderately satisfied,Moderately satisfied,Working in a different or more specialized technical role than the one I'm in now,1.0,2.0,3.0,10.0,9.0,11.0,8.0,5.0,4.0,7.0,6.0,58000,70985.0,EUR,"Other chat system (IRC, proprietary software, etc.);Other wiki tool (Github, Google Sites, proprietary software, etc.)","Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder)","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Internal Wikis, chat rooms, or documentation set up by my company for employees;The technology’s online help system",I already had a full-time job as a developer when I began the program,To win prizes or cash awards;Because I find it enjoyable,3,5,4,C;C++;Java;SQL,Java;Python,SQL Server;MySQL;Oracle,Redis;Amazon DynamoDB;Amazon Redshift;Elasticsearch,Linux;Mac OS;Windows Desktop or Server,Amazon Echo;AWS;Linux;Mac OS,Spring,Spark;Spring,IntelliJ;Sublime Text;Vim,MacOS,2,Depends on what it is,No,Upper management at the company/organization,Unsure / I don't know,Between 7:01 - 8:00 AM,9 - 12 hours,1 - 2 hours,Never,I don't typically exercise,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",White or of European descent,25 - 34 years old,Yes,11.170223866097674
2981,4248,Yes,Yes,United Kingdom,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",Back-end developer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer;System administrator,21-23 years,12-14 years,Moderately satisfied,Extremely satisfied,Working as a product manager or project manager,3.0,9.0,2.0,7.0,10.0,4.0,11.0,8.0,1.0,5.0,6.0,57000,79175.0,GBP,"Confluence;Slack;Other wiki tool (Github, Google Sites, proprietary software, etc.)","Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Questions & answers on Stack Overflow",I already had a full-time job as a developer when I began the program,"To improve my general technical skills or programming ability;To improve my knowledge of a specific programming language, framework, or other technology;Because I find it enjoyable",5,5,5,Java;JavaScript;Scala;SQL;HTML;CSS;Bash/Shell,Clojure;Go;Java;JavaScript;Ruby;Rust;Scala;SQL;Kotlin;HTML;CSS,PostgreSQL;Oracle,PostgreSQL,Linux,Linux,Node.js;React;Spring,Node.js;React;Spring,Atom;IntelliJ;Vim,MacOS,1,No,Depends on what it is,Upper management at the company/organization,Yes,Between 7:01 - 8:00 AM,5 - 8 hours,30 - 59 minutes,Never,I don't typically exercise,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",White or of European descent,35 - 44 years old,Yes,11.27941587140684
3056,4350,Yes,Yes,France,No,Employed full-time,Some college/university study without earning a degree,"A business discipline (ex. accounting, finance, marketing)",Back-end developer;Data or business analyst;Full-stack developer,6-8 years,3-5 years,Moderately dissatisfied,Neither satisfied nor dissatisfied,Working as a founder or co-founder of my own company,1.0,3.0,8.0,11.0,2.0,7.0,9.0,5.0,10.0,6.0,4.0,30000,36716.0,EUR,"Office / productivity suite (Microsoft Office, Google Suite, etc.)","Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees;The technology’s online help system",I haven’t gotten a developer job,To improve my general technical skills or programming ability;To improve my ability to work on a team with other programmers;To build my professional network;To help me find new job opportunities;To win prizes or cash awards;Because I find it enjoyable,4,3,2,PHP;Ruby;SQL;HTML;CSS;Bash/Shell,JavaScript;PHP;Python;Ruby;SQL,SQL Server;MySQL,"MySQL;Amazon DynamoDB;Microsoft Azure (Tables, CosmosDB, SQL, etc);Elasticsearch",Arduino;Heroku;Linux;Mac OS;Raspberry Pi;Windows Desktop or Server;WordPress,Amazon Echo;Android;Arduino;AWS;Gaming console;Google Cloud Platform/App Engine;Google Home;Heroku;IBM Cloud or Watson;Linux;Mac OS;Raspberry Pi,Cordova,Hadoop;Node.js;React;Spark;TensorFlow,Atom;Eclipse;Visual Studio Code,Linux-based,2,No,"Yes, and publicly",The person who came up with the idea,Yes,Between 7:01 - 8:00 AM,5 - 8 hours,1 - 2 hours,Never,1 - 2 times per week,Male,Straight or heterosexual,Primary/elementary school,Middle Eastern;South Asian,25 - 34 years old,No,10.510967906338982
3310,4749,Yes,Yes,United States,No,Employed full-time,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",Back-end developer;Front-end developer;Full-stack developer,12-14 years,6-8 years,Slightly satisfied,Moderately satisfied,Doing the same work,1.0,5.0,2.0,11.0,7.0,6.0,9.0,3.0,10.0,8.0,4.0,110000,110000.0,USD,"Confluence;Facebook;Google Hangouts/Chat;HipChat;Jira;Office / productivity suite (Microsoft Office, Google Suite, etc.);Other wiki tool (Github, Google Sites, proprietary software, etc.)","Participated in a full-time developer training program or bootcamp;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon","A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",I already had a full-time job as a developer when I began the program,To improve my general technical skills or programming ability;To win prizes or cash awards;Because I find it enjoyable,4,4,3,C#;PHP;Python;SQL;HTML;CSS;Bash/Shell,C#;PHP;Python;HTML;CSS;Bash/Shell,SQL Server;MySQL;PostgreSQL,SQL Server;MySQL;PostgreSQL,Amazon Echo;Android;AWS;Heroku;Salesforce;Windows Desktop or Server,AWS;Salesforce;Windows Desktop or Server,Angular;.NET Core;React,Angular;.NET Core;React,Visual Studio,Windows,4,Depends on what it is,Depends on what it is,Upper management at the company/organization,Yes,Between 7:01 - 8:00 AM,5 - 8 hours,1 - 2 hours,Never,1 - 2 times per week,Male,Straight or heterosexual,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",White or of European descent,25 - 34 years old,Yes,11.608235644774552
